,title,title_label
33, 오늘의 유통 단신    서울시 협업 참여형 캠페인  프레딧 따릉이  오픈  ,0
34, 공유경제 따릉이 타고 공유오피스로 출근 어디까지 공유해봤니,0
35,송영길 후보  따릉이와 대중교통 환승서비스 공약  따릉이   발표,0
36,서울시민  명중  명  따릉이 타 봤다 ,0
37, 따르릉  하고 싶지만  디지털 약자에겐 너무 먼 따릉이,0
38,서울시 공공자전거  따릉이  이용 올해  배 증가 음주운전 우려,0
39,인기폭발 따릉이의 고민 인도로 갈까  차도로 갈까 ,0
40, 따릉이  만큼 귀여운 각 지역 자전거 이름들,1
41, 따릉이  어플로 간편하게,0
42, 한줌뉴스   따릉이 가 잠깨운  공공의 가치 ,0
43, 만년 적자에도 중단 없다 여전한  따릉이  인기,0
44,자전거 타면 쇼핑몰 포인트가 쌓인다 따릉이  수익성 고민하는 서울시,0
45,따릉이 앱 누적 다운로드  만 돌파,1
46, 눈 이것은 인도인가  자전거 도로인가 ,0
47,이준석도 애용하는  따릉이  오세훈 서울시는 왜 배척하나 ,0
48,서울시설공단   만 시민 생활 인프라   책임진다,0
49, 공공자전거에 빅데이터 등   접목 따릉이  생활밀착형 서비스로 진화   인터뷰 ,1
50,서울시  따릉이 소동  오세훈 시장에게 묻는다  정재민의 젊은정치 ,1
51,따릉이가 없어진다고  그럴리가   이슈있슈,0
52,따릉이 내년 예산  원 에 뿔난 시민들 서울시 진화  진땀 ,0
53, 따릉이  시민들은 원하는데 서울시  적자 이유로 확대계획 중단,0
54,서울 공공자전거  따릉이  이용자 급증  비결은 ,1
55, 일 낙찰 계약 동향     학년 생존 안전  수영교실 임차 용역 계약  평택중앙초 내진성능평가 용역    올림픽데이런 행사 대행  낙찰 계약 동향,1
56,서울시설공단  메타버스에 초중고생  따릉이 교육소   월 개설,0
57,서울시설공단  메타버스에 초중고생  따릉이 교육소  아바타로 자전거타며 안전숙지,1
58,돌봄  손길과 따릉이 페달  코로나로 막힌 숨통 틔우다,1
59,오 박 시장의  두 바퀴 협치  서울시민 두 발이 편해졌다,0
60, 칼럼  지역 성장의 클러스터 서울혁신파크,1
61, 뉴스 따릉이 도  억 적자 위기의 공공자전거,0
62, 따릉이 에서  착한셔틀 모빌리티 까지 공유 모빌리티 산업 은 확장 중,1
63,이준석의 따릉이  그 너머를 보자고요,1
64, 단독  따르릉  쿵쿵  따릉이 위험사고  년새  배 늘었다,0
65, 단독  따릉이를 어쩌나 이용자 급증에 위험사고 늘어,0
66, 따릉이   년에  억 까먹었다  규모의 경제 외면한 언론,0
67,서울시설공단  따릉이 정비 효율 높이는 작업대  개 정비센터에 배치,0
68, 건강 챙기는 따릉이  전남형 공유자전거 워밍업,1
69,서울시  공공자전거 따릉이  공유정책 인지도 만족도  위 ,0
70,서울시   새싹따릉이  서비스 실행 송파 강동 은평 우선 도입,0
71,서울시  새싹따릉이  운영 시작  송파 강동 은평 우선 도입,0
72,서울시   새싹따릉이  오늘부터 달린다 송파 강동 은평 우선 도입,0
73,따릉이  타랑께 를 아시나요  지자체 공유자전거 사업의 한계,0
74,장마에도 코로나에도  따릉이 는 잘 나간다,1
75,서울공공자전거  따릉이  비대면 신 교통수단 각광,1
76,따릉이 전동킥보드 활발 한 서울시 공유경제 서비스  시민 이용 경험은 ,0
77,서울시설공단  따릉이  보이는 상담  시범운영,0
78, 마음의   혈세낭비와 공공자전거,1
79,  지자체 평가  따릉이 청년주택 등 호평  박원순 시장  주민만족도 최고,1
80,전기따릉이  공무수행용으로 전환,0
81, 년 연속 서울시민이 꼽은 정책  위  따릉이 ,1
82, 공유자전거  단돈 천원에 달린다,1
83,  국감  서울시   따릉이 적자 나아질 것 효율성 지표 개선중,1
84,따릉이  고장으로 사고 급증  안전대책  시급,0
85, 따릉이의 아성에 도전  전기자전거 전동킥보드 공유 기업 일레클   대 추가 세종시 진출,1
86, 현장취재  늘어나는 따릉이 때문에 한강자전거대여소 울상,1
87,서울시 공유정책 인기는  따릉이  활성화는  주차   위,0
88, 촌철살  오포 밀어낸 따릉이의  불편한 진실 ,1
89, 육아의 재발견  딸과 마음도 함께 따릉따릉,1
90,서울 시민이 모르는  따릉이 무덤  공무직 노동자들,1
91,따릉이  서울시민  명 중  명  이용 관리인력은 열악,0
92,권수정 시의원  서울시 공유정책  위  따릉이  사업  노동 사각지대 ,0
93,서울시  폭염 속 따릉이 헬멧 무료대여 시작 효과는  글쎄 ,0
94, 사회  서울시  따릉이  가장 많이 빌려 간 곳은 ,1
95,서울시  따릉이  가장 많이 빌려 간 곳은 ,1
96,공공자전거  따릉이  수리  동네 자전거방에 맡긴다,1
97,우상호  박원순 시장 관련 판결  이상하다는 것이 법조계 의견 ,0
98,따릉이  인기만큼 늘어가는  적자  서울시 반응은 ,0
99,자전거 안전모 무료 대여 서비스  따릉이 안전모 논란 이유  지식용어 ,0
100,서울시  따릉이  올연말 기업광고 달고 달린다 수익구조 다변화해 운영효율 ,1
101, 오늘의 유통 단신    서울시 협업 참여형 캠페인  프레딧 따릉이  오픈  ,0
102, 공유경제 따릉이 타고 공유오피스로 출근 어디까지 공유해봤니,0
103,서울시민 공유도시 활성화 기대  위  주차  인기정책은  따릉이 ,0
104,송영길 후보  따릉이와 대중교통 환승서비스 공약  따릉이   발표,0
105,서울시민  명중  명  따릉이 타 봤다 ,0
106, 따르릉  하고 싶지만  디지털 약자에겐 너무 먼 따릉이,0
107,서울시 공공자전거  따릉이  이용 올해  배 증가 음주운전 우려,0
108,인기폭발 따릉이의 고민 인도로 갈까  차도로 갈까 ,0
109, 따릉이  만큼 귀여운 각 지역 자전거 이름들,1
110,서울시민  명중  명  따릉이 타 봤다 ,0
111, 따르릉  하고 싶지만  디지털 약자에겐 너무 먼 따릉이,0
112,송영길  따릉이도 버스 지하철 환승 가능,0
113,서울시 공공자전거  따릉이  이용 올해  배 증가 음주운전 우려,0
114,인기폭발 따릉이의 고민 인도로 갈까  차도로 갈까 ,0
115, 따릉이  만큼 귀여운 각 지역 자전거 이름들,1
116, 따릉이  어플로 간편하게,0
117,초록색 공공자전거  따릉이   년 서울시민    만족 ,1
118, 한줌뉴스   따릉이 가 잠깨운  공공의 가치 ,0
119, 만년 적자에도 중단 없다 여전한  따릉이  인기,0
120, 따릉이  정말 편리하네,1
121,초록색 공공자전거  따릉이   년 서울시민    만족 ,1
122, 한줌뉴스   따릉이 가 잠깨운  공공의 가치 ,0
123, 만년 적자에도 중단 없다 여전한  따릉이  인기,0
124,자전거 타면 쇼핑몰 포인트가 쌓인다 따릉이  수익성 고민하는 서울시,0
125,따릉이 앱 누적 다운로드  만 돌파,1
126, 눈 이것은 인도인가  자전거 도로인가 ,0
127,오세훈도  난 따릉이 팬  엄지척 서울시민  가 만족한 정책,0
128,이준석도 애용하는  따릉이  오세훈 서울시는 왜 배척하나 ,0
129,서울시설공단   만 시민 생활 인프라   책임진다,0
130,오세훈도  난 따릉이 팬  엄지척 서울시민  가 만족한 정책,0
131,이준석도 애용하는  따릉이  오세훈 서울시는 왜 배척하나 ,0
132,서울시설공단   만 시민 생활 인프라   책임진다,0
133, 공공자전거에 빅데이터 등   접목 따릉이  생활밀착형 서비스로 진화   인터뷰 ,1
134, 하루 이용료  원   따릉이  안전도 높이는 장치 개발 서울시설공단  혁신의 르네상스  맞아,0
135,서울시  따릉이 소동  오세훈 시장에게 묻는다  정재민의 젊은정치 ,1
136,따릉이가 없어진다고  그럴리가   이슈있슈,0
137,따릉이 내년 예산  원 에 뿔난 시민들 서울시 진화  진땀 ,0
138, 따릉이  시민들은 원하는데 서울시  적자 이유로 확대계획 중단,0
139,서울 공공자전거  따릉이  이용자 급증  비결은 ,1
140,서울시  따릉이 신규도입 중단 사실 아니다 추가 도입 검토 ,0
141, 따릉이  시민들은 원하는데 서울시  적자 이유로 확대계획 중단,0
142,서울 공공자전거  따릉이  이용자 급증  비결은 ,1
143, 일 낙찰 계약 동향     학년 생존 안전  수영교실 임차 용역 계약  평택중앙초 내진성능평가 용역    올림픽데이런 행사 대행  낙찰 계약 동향,1
144,서울시설공단  메타버스에 초중고생  따릉이 교육소   월 개설,0
145,서울시설공단  메타버스에 초중고생  따릉이 교육소  아바타로 자전거타며 안전숙지,1
146,돌봄  손길과 따릉이 페달  코로나로 막힌 숨통 틔우다,1
147,오 박 시장의  두 바퀴 협치  서울시민 두 발이 편해졌다,0
148,서울시민  공유주차 하고싶어요 ,0
149, 칼럼  지역 성장의 클러스터 서울혁신파크,1
150,서울시민  공유주차 하고싶어요 ,0
151, 칼럼  지역 성장의 클러스터 서울혁신파크,1
152, 뉴스 따릉이 도  억 적자 위기의 공공자전거,0
153, 카드뉴스  서울시 공유정책 이용 현황,0
154,서울시민 공유서비스 만족도  위  아이옷 장난감 공유   이용   위는  따릉이   ,0
155, 따릉이 에서  착한셔틀 모빌리티 까지 공유 모빌리티 산업 은 확장 중,1
156,이준석의 따릉이  그 너머를 보자고요,1
157, 단독  따르릉  쿵쿵  따릉이 위험사고  년새  배 늘었다,0
158, 단독  따릉이를 어쩌나 이용자 급증에 위험사고 늘어,0
159, 따릉이   년에  억 까먹었다  규모의 경제 외면한 언론,0
160, 따릉이   년에  억 까먹었다  규모의 경제 외면한 언론,0
161,서울시설공단  따릉이 정비 효율 높이는 작업대  개 정비센터에 배치,0
162, 건강 챙기는 따릉이  전남형 공유자전거 워밍업,1
163,서울시  공공자전거 따릉이  공유정책 인지도 만족도  위 ,0
164,서울시 공유정책 인지도 만족도  위 공공자전거 따릉이 ,0
165,서울시   새싹따릉이  서비스 실행 송파 강동 은평 우선 도입,0
166,서울시  새싹따릉이  운영 시작  송파 강동 은평 우선 도입,0
167,서울시   새싹따릉이  오늘부터 달린다 송파 강동 은평 우선 도입,0
168,따릉이  타랑께 를 아시나요  지자체 공유자전거 사업의 한계,0
169,장마에도 코로나에도  따릉이 는 잘 나간다,1
170,서울시  새싹따릉이  운영 시작  송파 강동 은평 우선 도입,0
171,서울시   새싹따릉이  오늘부터 달린다 송파 강동 은평 우선 도입,0
172,따릉이  타랑께 를 아시나요  지자체 공유자전거 사업의 한계,0
173,서울시 공유정책 인지도 만족도  위  공공자전거  따릉이 ,0
174,장마에도 코로나에도  따릉이 는 잘 나간다,1
175,서울공공자전거  따릉이  비대면 신 교통수단 각광,1
176,따릉이 전동킥보드 활발 한 서울시 공유경제 서비스  시민 이용 경험은 ,0
177,서울시설공단  따릉이  보이는 상담  시범운영,0
178, 마음의   혈세낭비와 공공자전거,1
179,  지자체 평가  따릉이 청년주택 등 호평  박원순 시장  주민만족도 최고,1
180,서울시 공유정책 인지도 만족도  위  공공자전거  따릉이 ,0
181,장마에도 코로나에도  따릉이 는 잘 나간다,1
182,서울공공자전거  따릉이  비대면 신 교통수단 각광,1
183,따릉이 전동킥보드 활발 한 서울시 공유경제 서비스  시민 이용 경험은 ,0
184,서울시설공단  따릉이  보이는 상담  시범운영,0
185, 마음의   혈세낭비와 공공자전거,1
186,  지자체 평가  따릉이 청년주택 등 호평  박원순 시장  주민만족도 최고,1
187,서울시민  이상 공유서비스 이용 이용률  위  따릉이 ,0
188,전기따릉이  공무수행용으로 전환,0
189, 년 연속 서울시민이 꼽은 정책  위  따릉이 ,1
190,서울시설공단  따릉이  보이는 상담  시범운영,0
191,서울 공유정책 만족도  위는 공공자전거 따릉이,0
192, 마음의   혈세낭비와 공공자전거,1
193,  지자체 평가  따릉이 청년주택 등 호평  박원순 시장  주민만족도 최고,1
194, 대 서울시민  코로나 시대  여행 대신 따릉이 전동 킥보드 즐겼다 ,1
195,서울시민  이상 공유서비스 이용 이용률  위  따릉이 ,0
196,전기따릉이  공무수행용으로 전환,0
197, 년 연속 서울시민이 꼽은 정책  위  따릉이 ,1
198, 공유자전거  단돈 천원에 달린다,1
199,희망 공유정책  위는  주차 ,1
200,서울 공유정책 만족도  위는 공공자전거 따릉이,0
201, 마음의   혈세낭비와 공공자전거,1
202,  지자체 평가  따릉이 청년주택 등 호평  박원순 시장  주민만족도 최고,1
203, 대 서울시민  코로나 시대  여행 대신 따릉이 전동 킥보드 즐겼다 ,1
204,서울시민  이상 공유서비스 이용 이용률  위  따릉이 ,0
205,전기따릉이  공무수행용으로 전환,0
206, 년 연속 서울시민이 꼽은 정책  위  따릉이 ,1
207, 공유자전거  단돈 천원에 달린다,1
208,희망 공유정책  위는  주차 ,1
209,  국감  서울시   따릉이 적자 나아질 것 효율성 지표 개선중,1
210,서울시민  명 중  명은 공유 서비스 이용 따릉이  이용률 최고,0
211,전기따릉이  공무수행용으로 전환,0
212, 년 연속 서울시민이 꼽은 정책  위  따릉이 ,1
213, 공유자전거  단돈 천원에 달린다,1
214,희망 공유정책  위는  주차 ,1
215,  국감  서울시   따릉이 적자 나아질 것 효율성 지표 개선중,1
216,따릉이  고장으로 사고 급증  안전대책  시급,0
217, 따릉이의 아성에 도전  전기자전거 전동킥보드 공유 기업 일레클   대 추가 세종시 진출,1
218, 현장취재  늘어나는 따릉이 때문에 한강자전거대여소 울상,1
219,서울시 공유정책 인기는  따릉이  활성화는  주차   위,0
220,서울시민    공유정책 서비스 이용 이용률  위  따릉이 ,0
221, 공유자전거  단돈 천원에 달린다,1
222,희망 공유정책  위는  주차 ,1
223,  국감  서울시   따릉이 적자 나아질 것 효율성 지표 개선중,1
224,따릉이  고장으로 사고 급증  안전대책  시급,0
225, 따릉이의 아성에 도전  전기자전거 전동킥보드 공유 기업 일레클   대 추가 세종시 진출,1
226, 현장취재  늘어나는 따릉이 때문에 한강자전거대여소 울상,1
227,서울시 공유정책 인기는  따릉이  활성화는  주차   위,0
228, 촌철살  오포 밀어낸 따릉이의  불편한 진실 ,1
229, 육아의 재발견  딸과 마음도 함께 따릉따릉,1
230,거주자 우선주차장 공유 확산 활성화 원하는 공유정책  위,1
231,서울시민    공유 정책 서비스 이용 따릉이  으뜸,0
232,  국감  서울시   따릉이 적자 나아질 것 효율성 지표 개선중,1
233,따릉이  고장으로 사고 급증  안전대책  시급,0
234, 따릉이의 아성에 도전  전기자전거 전동킥보드 공유 기업 일레클   대 추가 세종시 진출,1
235, 현장취재  늘어나는 따릉이 때문에 한강자전거대여소 울상,1
236,서울시 공유정책 인기는  따릉이  활성화는  주차   위,0
237, 촌철살  오포 밀어낸 따릉이의  불편한 진실 ,1
238, 육아의 재발견  딸과 마음도 함께 따릉따릉,1
239,서울 시민이 모르는  따릉이 무덤  공무직 노동자들,1
240, 현장취재  늘어나는 따릉이 때문에 한강자전거대여소 울상,1
241,서울시 공유정책 인기는  따릉이  활성화는  주차   위,0
242,서울시 공유정책 인기는  따릉이  활성화는  주차   위,0
243, 촌철살  오포 밀어낸 따릉이의  불편한 진실 ,1
244, 육아의 재발견  딸과 마음도 함께 따릉따릉,1
245,서울 시민이 모르는  따릉이 무덤  공무직 노동자들,1
246,따릉이  서울시민  명 중  명  이용 관리인력은 열악,0
247,권수정 시의원  서울시 공유정책  위  따릉이  사업  노동 사각지대 ,0
248,서울시  폭염 속 따릉이 헬멧 무료대여 시작 효과는  글쎄 ,0
249, 사회  서울시  따릉이  가장 많이 빌려 간 곳은 ,1
250,서울시  따릉이  가장 많이 빌려 간 곳은 ,1
251,공공자전거  따릉이  수리  동네 자전거방에 맡긴다,1
252,우상호  박원순 시장 관련 판결  이상하다는 것이 법조계 의견 ,0
253,따릉이  인기만큼 늘어가는  적자  서울시 반응은 ,0
254,자전거 안전모 무료 대여 서비스  따릉이 안전모 논란 이유  지식용어 ,0
255,서울시 따릉이  두 달 출 퇴근길 이용해보니  개선할 점은 ,0
256,서울시  따릉이  안전모  열흘 새 절반 분실 우려가 현실로 ,0
257, 투데이 현장   따릉이 헬멧  어쩌나 실효성 논란,0
258,양심에 맡긴  따릉이 안전모 사라지고 버려지고  예견된 결과 ,0
259, 김기자의 현장   쓰는 사람도 못 봤는데요  예고된 사태  따릉이 헬멧 무료대여로 사라진다,0
260, 따릉이  안전모 분실에 서울시설공단  일 전수조사 실시,0
261,서울시   따릉이  안전모 대여 시범사업 실효성  논란 ,0
262,서울시  공공자전거  따릉이  안전모 비치 여의도서 시범운영,1
263,공공 자전거  따릉이  이젠 헬멧 쓰세요 ,0
264, 자전거 헬멧 논란  따릉이도 안전모 쓴다,0
265,따릉이 탈 때 헬멧 쓰세요 여의도서 헬멧 시범 대여,1
266, 따릉이 운명은 헬멧 착용 의무화에 시민들 갑론을박,0
267,  소식   텔레콤 유플러스   ,0
268, 새싹따릉이   일부터 서울시내 누빈다,0
269,시민이 뽑은 서울시 정책  등은  따릉이 ,0
270,서울시설공단  공공자전거  따릉이  안전모 무료대여,0
271, 따릉이  헬멧 쓰고 타자 여의도 대여소에 헬멧 비치,0
272, 따릉이 운명은 헬멧 착용 의무화에 시민들 갑론을박,0
273,  소식   텔레콤 유플러스   ,0
274, 새싹따릉이   일부터 서울시내 누빈다,0
275,시민이 뽑은 서울시 정책  등은  따릉이 ,0
276, 년 서울시민이 뽑은  대 뉴스 위는 따릉이 ,0
277,서울지하철에서 따릉이까지 내외국인 사랑받는 서울,0
278,서울시민이 뽑은  년  대 뉴스  위  따릉이 ,0
279, 만건 대여 따릉이  서울시 으뜸뉴스,0
280,서울시  공공자전거  따릉이  안전모 여의도서 무료대여 시범운영,1
281,내일부터 여의도서 따릉이 헬멧 시범 무료 대여,0
282, 따릉이 운명은 헬멧 착용 의무화에 시민들 갑론을박,0
283,  소식   텔레콤 유플러스   ,0
284, 새싹따릉이   일부터 서울시내 누빈다,0
285,시민이 뽑은 서울시 정책  등은  따릉이 ,0
286, 년 서울시민이 뽑은  대 뉴스 위는 따릉이 ,0
287,서울지하철에서 따릉이까지 내외국인 사랑받는 서울,0
288,서울시민이 뽑은  년  대 뉴스  위  따릉이 ,0
289, 만건 대여 따릉이  서울시 으뜸뉴스,0
290,공공자전거  따릉이  여의도에서 안전모 무료 대여,1
291,시민이 뽑은 서울시 정책  등은  따릉이 ,0
292, 년 서울시민이 뽑은  대 뉴스 위는 따릉이 ,0
293,서울지하철에서 따릉이까지 내외국인 사랑받는 서울,0
294,서울시민이 뽑은  년  대 뉴스  위  따릉이 ,0
295, 만건 대여 따릉이  서울시 으뜸뉴스,0
296,여의도 지역 따릉이 안전모 시범사업 실시,0
297, 년 서울시민이 뽑은 최고의 정책은  따릉이 ,1
298,자동차도 자전거도 공유가 대세 나눔카 따릉이 나도 타볼까,0
299,따릉이  나눔카 시민 삶속에 스며든  공유서울  홍보 콘텐츠 공모,0
300,서울지하철에서 따릉이까지 내외국인 사랑받는 서울,0
301,서울시민이 뽑은  년  대 뉴스  위  따릉이 ,0
302, 만건 대여 따릉이  서울시 으뜸뉴스,0
303,여의도 지역 따릉이 안전모 시범사업 실시,0
304, 년 서울시민이 뽑은 최고의 정책은  따릉이 ,1
305, 년 시민이 뽑은 서울시 정책  위는  따릉이 ,0
306,서울 시민  따릉이 정책이 제일 좋아 ,1
307,자동차도 자전거도 공유가 대세 나눔카 따릉이 나도 타볼까,0
308,따릉이  나눔카 시민 삶속에 스며든  공유서울  홍보 콘텐츠 공모,0
309, 수습기자  시   기 조규홍   창원 누비자 애용자의 서울 따릉이 시승기,1
310,여의도 지역 따릉이 안전모 무료대여,0
311, 년 서울시민이 뽑은 최고의 정책은  따릉이 ,1
312, 년 시민이 뽑은 서울시 정책  위는  따릉이 ,0
313,서울 시민  따릉이 정책이 제일 좋아 ,1
314,자동차도 자전거도 공유가 대세 나눔카 따릉이 나도 타볼까,0
315,따릉이  나눔카 시민 삶속에 스며든  공유서울  홍보 콘텐츠 공모,0
316, 수습기자  시   기 조규홍   창원 누비자 애용자의 서울 따릉이 시승기,1
317,서울 전역에  따릉이  확대 설치   시민의견 받아요 ,0
318,따릉이  주년  시민    확대 원해 ,0
319, 이  야  안 비켜     잠시나마 여유   따릉이  타 보니,1
320,서울시 공공자전거  따릉이  운영  주년 대여  만건,1
321, 이  야  안 비켜     잠시나마 여유   따릉이  타 보니,1
322,공공자전거  따릉이 신촌 여의도서 무료로 타보세요 ,1
323,서울시  올해 공유정책 만족도  장난감 이 가장 높아,0
324,서울시민  명 중  명  공유 서비스 이용해봤다  따릉이  위,0
325, 주차장 같이 써요  서울시   공유도시 정책 인지도 조사  결과 발표,0
326,전장 사업 힘주는  그룹 주요 계열사 협력,1
327,서울시민이 뽑은 뉴스  위는 자전거  따릉이 ,1
328, 소비 소유는 적게  만족도는 높게 인테리어 업계에 다시 부는  미니멀리즘  돌풍,0
329,지자체 주민 만족도  위 서울시의 특별한 비결,0
330,서울시민  명 중  명  공유 서비스 이용해봤다  따릉이  위,0
331,서울 공공자전거 따릉이  내달  일부터  대 운영,1
332, 주차장 같이 써요  서울시   공유도시 정책 인지도 조사  결과 발표,0
333,전장 사업 힘주는  그룹 주요 계열사 협력,1
334,서울시민이 뽑은 뉴스  위는 자전거  따릉이 ,1
335, 소비 소유는 적게  만족도는 높게 인테리어 업계에 다시 부는  미니멀리즘  돌풍,0
336,지자체 주민 만족도  위 서울시의 특별한 비결,0
337, 사전 측정 만족도   강남구 지자체 첫 모바일앱 더강남 출시,1
338, 뉴스라이더   갭투자 사장님들 모셔요  사기 담보대출 덫에 걸린 사회초년생들,0
339,경희대  국가고객만족도  년 연속 사립대 중  위,1
340,경희대 재학생 만족도   년 연속 사립대  위 ,0
341,경희대  재학생 만족도  년 연속 사립대  위 ,0
342,지자체 주민 만족도 끝판왕은  서울시,0
343, 유통가 레이더   매장에도 친환경  맥도날드  고객 편의와 친환경 담은  제주도남 점  오픈 등,0
344,   유통  롯데리아   인삼공사  하코야  ,0
345,서울시   년째 지자체 평가서  위 박원순 시장 정책에 주민만족도 높아,0
346, 심야콜버스 올 서울시정책 중 시민만족도  위,0
347,판매 실적 쑥쑥 올라간 포르쉐 로컬 프로젝트로 브랜드 이미지  업 ,0
348,서울시  공유도시 정책별 사업 인지도   차지,0
349,성중기 서울시의원  양적 확대에 치중된 공공자전거 사업 지적,0
350, 심야콜버스 올 서울시정책 중 시민만족도  위,0
351,판매 실적 쑥쑥 올라간 포르쉐 로컬 프로젝트로 브랜드 이미지  업 ,0
352,서울시  공유도시 정책별 사업 인지도   차지,0
353,성중기 서울시의원  양적 확대에 치중된 공공자전거 사업 지적,0
354,효율적인 을지로 탐험을 위한 호텔  ,0
355, 구구담  지방자치 부활  주년 소통과 혁신 의 도시 마포  유동균 구청장 ,1
356,강동구에서 가장 싼  평대 아파트      세대 이상 ,1
357,박규철 대한노인회 서울 마포구지회장 대통령 표창 수상,0
358, 키워드 경제  짠테크,1
359,정보력의 차이가 휴가의 질을 결정한다  여행 관련 스마트 서비스  눈길,0
360,공공 떠난 공유자전거 사업 꿰 찬 민간기업  공공성은 어떨까,1
361, 공존은 어려울까  공공자전거 따라잡은 민간공유자전거  문제점은 ,1
362, 아껴야 산다 세대의 고물가시대 생존법  짠테크 ,1
363, 스타트업 소식  당근마켓 다방 요기요 청소연구소  ,1
364, 점  서울시  스마트 헬스  추경 삭감 수순 밟나,0
365, 액티브 시니어  마곡레포츠센터 시니어 카페  한담  오픈,0
366,커피향  솔솔  인생  막  활짝 ,1
367,밤마다 택시 잡기 전쟁 지하철 심야 운행도 난항,1
368,어니컴    월드 쇼서 모바일 성능 모니터링 솔루션   소개 나선다,0
369, 시민들 높아진 눈높이와 따끔한 평가  시의원들 더 노력하게 해 ,0
370,서울시민    공유정책 서비스 이용 ,0
371, 공유시대 공유서비스가 내 삶을 바꾸고 있다,1
372, 일 조달청 입찰정보 종합  신등 율현지구 용배수로 정비공사   년 가로청소 발생 폐토사류 폐기물 위탁처리 대행외 나라장터 입찰 공고,0
373,스페인 갈리시아    도심진입 금지 지상주차장 제거  인구  만명 늘었다,0
374,관악 밸리 벤처기업육성촉진지구 지정,0
375,서울시  체계적인 브랜디드 콘텐츠로 공감 소통,1
376, 일 조달청 입찰정보 종합   년  월 다운중학교 학교급식용 육류 소액수의견적제출 안내 공고  번암리 도시계획도로 소로 호  개설공사외 나라장터 입찰 공고,0
377, 친환경  모빌리티로 구석구석 제주여행 어때요 ,1
378, 사설 공영자전거 타슈 무료 정책  활용도 높이나,0
379, 일 조달청 입찰정보 종합  패널필름부착기   월분 학교급식물품 육류  공동구매 업체선정 수의계약 안내공고외 나라장터 입찰 공고,0
380, 친환경  모빌리티로 구석구석 제주여행 어때요 ,1
381, 사설 공영자전거 타슈 무료 정책  활용도 높이나,0
382, 일 조달청 입찰정보 종합  패널필름부착기   월분 학교급식물품 육류  공동구매 업체선정 수의계약 안내공고외 나라장터 입찰 공고,0
383, 전체 이동의   이상은 단거리  여길 잡아야 모빌리티 승자  공유 자전거 서비스  매스아시아 정수영 대표,1
384, 경제레시피  일반자전거 전기자전거 전동킥보드 대여  누구나 이용할 수 있나요 ,1
385, 파워우먼 공공분야 새 바람 일으키는 이지윤 서울시설공단 이사장,0
386,공유 전기자전거  월부터  쌩쌩 ,0
387,도봉구    탄소중립 위한 기후변화대책위원회 발족,0
388,박원순  혁신인프라  개  일자리  만개 만든다 ,0
389,경기도 공유자전거  에브리바이크  팁스 선정,1
390, 데이터  최강 폭염 한파 겪은  년 숫자로 본 서울,1
391, 안전모가 공공자전거 붐에 찬물  지방정부 부글부글,0
392,서울 공공자전거 안전모 비치 시범운영,1
393,오세훈  년  반대  무상급식 시민이 뽑은  등 조례로,0
394, 글로벌 공유자전거 경쟁   한국   민간 공유자전거 대대적 확장으로 연내  만대 돌파,1
